time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot
2011-09-26,5360.5,5455.25,5292.25,5304.5,,5455.25,5292.25,5304.5,5451.635
2011-10-03,5296.5,5397,5205.75,5371.75,,5397,5205.75,5371.75,5450.0475
2011-10-10,5376,5539,5373,5537.25,,5539,5373,5537.25,5452.39625
2011-10-17,5537.25,5558.5,5438.5,5504.25,,5558.5,5438.5,5504.25,5454.565
2011-10-24,5496.75,5578.75,5456.75,5566.5,,5578.75,5456.75,5566.5,5456.65875
2011-10-31,5567.75,5568,5449,5521,,5568,5449,5521,5457.87875
2011-11-07,5521,5569.5,5456.5,5520.25,,5569.5,5456.5,5520.25,5459.24875
2011-11-14,5525,5544.25,5419,5419.75,,5544.25,5419,5419.75,5459.2825
2011-11-21,5414,5414,5305.75,5317.5,,5414,5305.75,5317.5,5456.02
2011-11-28,5353,5514.75,5348.25,5473.25,,5514.75,5348.25,5473.25,5453.35875
2011-12-05,5479,5513.75,5439,5492,,5513.75,5439,5492,5453.1325
2011-12-12,5491.5,5495.5,5388.5,5406.25,,5495.5,5388.5,5406.25,5451.11625
2011-12-19,5408.5,5464.75,5377.75,5452,,5464.75,5377.75,5452,5449.975
2011-12-27,5453.5,5470,5427.25,5448,,5470,5427.25,5448,5450.85125
2012-01-03,5486,5532.25,5476,5525.75,,5532.25,5476,5525.75,5452.7775
2012-01-09,5526.75,5560.25,5512,5547,,5560.25,5512,5547,5454.32625
2012-01-17,5540.75,5616,5535,5608.25,,5616,5535,5608.25,5456.22
2012-01-23,5603.5,5649.5,5593,5629.75,,5649.5,5593,5629.75,5459.8575
2012-01-30,5633.5,5703.5,5602.75,5696.5,,5703.5,5602.75,5696.5,5464.6925
2012-02-06,5693.25,5738.5,5684,5722,,5738.5,5684,5722,5469.02375
2012-02-13,5730.25,5774,5716.25,5755.5,,5774,5716.25,5755.5,5473.8125
2012-02-21,5767.25,5783,5742.75,5775,,5783,5742.75,5775,5478.16625
2012-02-27,5776,5823.5,5752.25,5817,,5823.5,5752.25,5817,5484.9975
2012-03-05,5813.25,5826,5748.5,5822,,5826,5748.5,5822,5492.3375
2012-03-12,5822.75,5898,5808.75,5887,,5898,5808.75,5887,5501.77375
2012-03-19,5886.5,5926.5,5878.25,5906.75,,5926.5,5878.25,5906.75,5513.42625
2012-03-26,5907.75,5968.25,5907,5928.75,,5968.25,5907,5928.75,5527.20125
2012-04-02,5936,5969.5,5897,5931.75,,5969.5,5897,5931.75,5541.22375
2012-04-09,5903.75,5926,5862.25,5871.5,,5926,5862.25,5871.5,5552.99125
2012-04-16,5872.75,5913,5832.25,5852.25,,5913,5832.25,5852.25,5561.25875
2012-04-23,5849,5924,5802.75,5914.75,,5924,5802.75,5914.75,5569.80625
2012-04-30,5919,5931,5803.25,5803.5,,5931,5803.25,5803.5,5578.1575
