time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot
2023-05-12,16199.75,16248,16064.25,16124.25,,16248,16064.25,16124.25,15081.39125
2023-05-15,16132.5,16233.75,16103.75,16217.75,,16233.75,16103.75,16217.75,15082.215
2023-05-16,16214.75,16308.25,16180,16257,,16308.25,16180,16257,15083.21875
2023-05-17,16252.25,16422.75,16228,16394.5,,16422.75,16228,16394.5,15085.21
2023-05-18,16394.25,16666.75,16382,16666.25,,16666.75,16382,16666.25,15086.92125
2023-05-19,16662.25,16714,16568,16594.75,,16714,16568,16594.75,15087.875
2023-05-22,16559.25,16700.5,16548,16669.25,,16700.5,16548,16669.25,15089.75875
2023-05-23,16667,16733,16463.75,16486.5,,16733,16463.75,16486.5,15090.74625
2023-05-24,16482.75,16599.5,16320.25,16596,,16599.5,16320.25,16596,15093.0675
2023-05-25,16630.75,16785,16556.75,16735.25,,16785,16556.75,16735.25,15094.45875
2023-05-26,16731.5,17122.75,16678.25,17121,,17122.75,16678.25,17121,15097.95
2023-05-30,17191.25,17323.75,17090.5,17156.5,,17323.75,17090.5,17156.5,15100.4525
2023-05-31,17151,17182.75,17005,17042.5,,17182.75,17005,17042.5,15101.89125
2023-06-01,17043.25,17282,17002,17250.5,,17282,17002,17250.5,15104.44625
2023-06-02,17247.75,17381.5,17222,17341.5,,17381.5,17222,17341.5,15108.21875
2023-06-05,17330.75,17448.5,17266.5,17336,,17448.5,17266.5,17336,15111.81875
2023-06-06,17335.75,17377.5,17258.25,17348.25,,17377.5,17258.25,17348.25,15116.93
2023-06-07,17348.25,17428.75,17059.25,17069.75,,17428.75,17059.25,17069.75,15122.23125
2023-06-08,17069.75,17280.5,17010.5,17275,,17280.5,17010.5,17275,15128.78
2023-06-09,17270.75,17441.25,17214,17320,,17441.25,17214,17320,15135.22
2023-06-12,17314,17580.75,17308,17579.75,,17580.75,17308,17579.75,15142.015
2023-06-13,17576.75,17721.5,17533.25,17677.75,,17721.5,17533.25,17677.75,15152.22875
2023-06-14,17680.5,17813.75,17546.25,17803.75,,17813.75,17546.25,17803.75,15163.34125
2023-06-15,17792.25,18011.25,17636.25,17938,,18011.25,17636.25,17938,15175.84875
2023-06-16,17938.25,18045.75,17828.75,17871,,18045.75,17828.75,17871,15188.29625
2023-06-20,17873.5,17892.75,17696.75,17814.5,,17892.75,17696.75,17814.5,15200.5275
2023-06-21,17817.75,17843.5,17572.5,17608.25,,17843.5,17572.5,17608.25,15212.5375
2023-06-22,17609,17808.25,17534.25,17803.5,,17808.25,17534.25,17803.5,15226.07375
2023-06-23,17806.25,17806.25,17555.5,17623.5,,17806.25,17555.5,17623.5,15237.49375
2023-06-26,17628,17722.75,17423.75,17443,,17722.75,17423.75,17443,15247.595
2023-06-27,17445.25,17709.5,17432.5,17658.75,,17709.5,17432.5,17658.75,15257.55625
2023-06-28,17658.5,17789.25,17591.5,17726.75,,17789.25,17591.5,17726.75,15266.95375
2023-06-29,17731.25,17773,17598.75,17678.5,,17773,17598.75,17678.5,15279.7475
2023-06-30,17676.25,17947,17669.25,17886.75,,17947,17669.25,17886.75,15292.9675
2023-07-03,17901.25,17962.25,17878.25,17927.25,,17962.25,17878.25,17927.25,15307.775
2023-07-05,17927.25,18002.25,17825.5,17924.75,,18002.25,17825.5,17924.75,15322.63125
2023-07-06,17924,17936.25,17681.75,17792.5,,17936.25,17681.75,17792.5,15336.4025
2023-07-07,17782,17930,17742.5,17762.75,,17930,17742.5,17762.75,15350.5075
2023-07-10,17768.75,17788.5,17633.5,17763.25,,17788.5,17633.5,17763.25,15366.02
2023-07-11,17766,17849,17679.75,17832.75,,17849,17679.75,17832.75,15382.3875
2023-07-12,17828.25,18078,17824.75,18028.5,,18078,17824.75,18028.5,15400.62625
2023-07-13,18028,18311.5,18026.75,18270,,18311.5,18026.75,18270,15420.435
2023-07-14,18269.25,18427.5,18233.25,18264,,18427.5,18233.25,18264,15440.02
2023-07-17,18260.25,18453,18231.75,18396.5,,18453,18231.75,18396.5,15459.3425
2023-07-18,18402.25,18600,18303.25,18518.5,,18600,18303.25,18518.5,15480.80125
